id,group,addressee
b06_h060,Hymns to Various Gods,Indra and Agni
b06_h061,Hymns to Various Gods,Sarasvati
b06_h062,Hymns to Various Gods,Asvins
b06_h063,Hymns to Various Gods,Asvins
b06_h064,Hymns to Various Gods,Usas
b06_h065,Hymns to Various Gods,Usas
b06_h066,Hymns to Various Gods,The Maruts
b06_h067,Hymns to Various Gods,Mitra and Varuna
b06_h068,Hymns to Various Gods,Indra and Varuna
b06_h069,Hymns to Various Gods,Indra and Vishnu
b06_h070,Hymns to Various Gods,Heaven and Earth
b06_h071,Hymns to Various Gods,Savitri
b06_h072,Hymns to Various Gods,Indra and Soma
b06_h073,Hymns to Various Gods,Brihaspati
b06_h074,Hymns to Various Gods,Soma and Rudra
b06_h075,Hymns to Various Gods,Blessing of Weapons
b07_h001,Hymns to Agni,Agni
b07_h002,Hymns to Agni,Apri Hymn
b07_h003,Hymns to Agni,Agni
b07_h004,Hymns to Agni,Agni
b07_h005,Hymns to Agni,Agni Vaisvanara
b07_h006,Hymns to Agni,Agni Vaisvanara
b07_h007,Hymns to Agni,Agni
b07_h008,Hymns to Agni,Agni
b07_h009,Hymns to Agni,Agni
b07_h010,Hymns to Agni,Agni
b07_h011,Hymns to Agni,Agni
b07_h012,Hymns to Agni,Agni
b07_h013,Hymns to Agni,Agni Vaisvanara
b07_h014,Hymns to Agni,Agni
b07_h015,Hymns to Agni,Agni
b07_h016,Hymns to Agni,Agni
b07_h017,Hymns to Agni,Agni
b07_h018,Hymns to Indra,Indra
b07_h019,Hymns to Indra,Indra
b07_h020,Hymns to Indra,Indra
b07_h021,Hymns to Indra,Indra
b07_h022,Hymns to Indra,Indra
b07_h023,Hymns to Indra,Indra
b07_h024,Hymns to Indra,Indra
b07_h025,Hymns to Indra,Indra
b07_h026,Hymns to Indra,Indra
b07_h027,Hymns to Indra,Indra
b07_h028,Hymns to Indra,Indra
b07_h029,Hymns to Indra,Indra
b07_h030,Hymns to Indra,Indra
b07_h031,Hymns to Indra,Indra
b07_h032,Hymns to Indra,Indra
b07_h033,Hymns to Indra,Vasistha
b07_h034,Hymns to All the Gods,All the Gods
b07_h035,Hymns to All the Gods,All the Gods
b07_h036,Hymns to All the Gods,All the Gods
b07_h037,Hymns to All the Gods,All the Gods
b07_h038,Hymns to All the Gods,Savitri and Other Gods
b07_h039,Hymns to All the Gods,All the Gods
b07_h040,Hymns to All the Gods,All the Gods
b07_h041,Hymns to All the Gods,Bhaga and Other Gods
b07_h042,Hymns to All the Gods,All the Gods
b07_h043,Hymns to All the Gods,All the Gods
b07_h044,Hymns to All the Gods,Dadhikra
b07_h045,Hymns to All the Gods,Savitri
b07_h046,Hymns to All the Gods,Rudra
b07_h047,Hymns to All the Gods,The Waters
b07_h048,Hymns to All the Gods,The Ribhus
b07_h049,Hymns to All the Gods,The Waters
b07_h050,Hymns to All the Gods,Diverse Gods
b07_h051,Hymns to All the Gods,Adityas
b07_h052,Hymns to All the Gods,Adityas
b07_h053,Hymns to All the Gods,Heaven and Earth
b07_h054,Hymns to All the Gods,Vastospati
b07_h055,Hymns to All the Gods,Lullaby
b07_h056,Hymns to the Maruts,The Maruts
b07_h057,Hymns to the Maruts,The Maruts
b07_h058,Hymns to the Maruts,The Maruts
b07_h059,Hymns to the Maruts,The Maruts
b07_h060,Hymns to Mitra and Varuna,Mitra and Varuna
b07_h061,Hymns to Mitra and Varuna,Mitra and Varuna
b07_h062,Hymns to Mitra and Varuna,"Surya, Mitra and Varuna"
b07_h063,Hymns to Mitra and Varuna,"Surya, Mitra and Varuna"
b07_h064,Hymns to Mitra and Varuna,Mitra and Varuna
b07_h065,Hymns to Mitra and Varuna,Mitra and Varuna
b07_h066,Hymns to Mitra and Varuna,"Mitra-Varuna, the Adityas and Surya"
b07_h067,Hymns to the Asvins,Asvins
b07_h068,Hymns to the Asvins,Asvins
b07_h069,Hymns to the Asvins,Asvins
b07_h070,Hymns to the Asvins,Asvins
b07_h071,Hymns to the Asvins,Asvins
b07_h072,Hymns to the Asvins,Asvins
b07_h073,Hymns to the Asvins,Asvins
b07_h074,Hymns to the Asvins,Asvins
b07_h075,Hymns to Usas,Usas
b07_h076,Hymns to Usas,Usas
b07_h077,Hymns to Usas,Usas
b07_h078,Hymns to Usas,Usas
b07_h079,Hymns to Usas,Usas
b07_h080,Hymns to Usas,Usas
b07_h081,Hymns to Usas,Usas
b07_h082,Hymns to Indra and Varuna,Indra and Varuna
b07_h083,Hymns to Indra and Varuna,Indra and Varuna
b07_h084,Hymns to Indra and Varuna,Indra and Varuna
b07_h085,Hymns to Indra and Varuna,Indra and Varuna
b07_h086,Hymns to Varuna,Varuna
b07_h087,Hymns to Varuna,Varuna
b07_h088,Hymns to Varuna,Varuna
b07_h089,Hymns to Varuna,Varuna
b07_h090,Hymns to Divine Pairs,Vayu or Indra and Vayu
b07_h091,Hymns to Divine Pairs,Vayu or Indra and Vayu
b07_h092,Hymns to Divine Pairs,Vayu
b07_h093,Hymns to Divine Pairs,Indra and Agni
b07_h094,Hymns to Divine Pairs,Indra and Agni
b07_h095,Hymns to Divine Pairs,Sarasvati or Sarasvat
b07_h096,Hymns to Divine Pairs,Sarasvati or Sarasvat
b07_h097,Hymns to Divine Pairs,Indra and Brihaspati
b07_h098,Hymns to Divine Pairs,Indra
b07_h099,Hymns to Vishnu,"Vishnu, Indra and Vishnu"
b07_h100,Hymns to Vishnu,Vishnu
b07_h101,Hymns to Parjanya / Appendix,Parjanya
b07_h102,Hymns to Parjanya / Appendix,Parjanya
b07_h103,Hymns to Parjanya / Appendix,The Frogs
b07_h104,Hymns to Parjanya / Appendix,"Indra, Soma and Other Gods"
b08_h001,"Hymns of Priyamedha's, Medyatithi Etc.",Indra
b08_h002,"Hymns of Priyamedha's, Medyatithi Etc.",Indra
b08_h003,"Hymns of Priyamedha's, Medyatithi Etc.",Indra
b08_h004,"Hymns of Priyamedha's, Medyatithi Etc.",Indra
b08_h005,"Hymns of Priyamedha's, Medyatithi Etc.",Asvins
b08_h006,Hymns of Vatsa,Indra
b08_h007,Hymns of Vatsa,The Maruts
b08_h008,Hymns of Vatsa,Asvins
b08_h009,Hymns of Vatsa,Asvins
b08_h010,Hymns of Vatsa,Asvins
b08_h011,Hymns of Vatsa,Agni
b08_h012,Various Sons of Kanva,Indra
b08_h013,Various Sons of Kanva,Indra
b08_h014,Various Sons of Kanva,Indra
b08_h015,Various Sons of Kanva,Indra
b08_h016,Various Sons of Kanva,Indra
b08_h017,Various Sons of Kanva,Indra
b08_h018,Various Sons of Kanva,Adityas
b08_h019,Hymns of Sobhari,Agni
b08_h020,Hymns of Sobhari,The Maruts
b08_h021,Hymns of Sobhari,Indra
b08_h022,Hymns of Sobhari,Asvins
b08_h023,Hymns of Vyasva,Agni
b08_h024,Hymns of Vyasva,Indra
b08_h025,Hymns of Vyasva,Mitra and Varuna and Other Gods
b08_h026,Hymns of Vyasva,Asvins and Vayu
b08_h027,Hymns of Manu Vaivasvata,All the Gods
b08_h028,Hymns of Manu Vaivasvata,All the Gods
b08_h029,Hymns of Manu Vaivasvata,All the Gods
b08_h030,Hymns of Manu Vaivasvata,All the Gods
b08_h031,Hymns of Manu Vaivasvata,Praise of the Sacrificer and His Wife
b08_h032,Hymns of Medhatithi and Other Kanva Sons,Indra
b08_h033,Hymns of Medhatithi and Other Kanva Sons,Indra
b08_h034,Hymns of Medhatithi and Other Kanva Sons,Indra
b08_h035,Hymns of Syavasva,Asvins
b08_h036,Hymns of Syavasva,Indra
b08_h037,Hymns of Syavasva,Indra
b08_h038,Hymns of Syavasva,Indra and Agni
b08_h039,Hymns of Nabhaka,Agni
b08_h040,Hymns of Nabhaka,Indra and Agni
b08_h041,Hymns of Nabhaka,Varuna
b08_h042,Hymns of Nabhaka,Varuna and the Asvins
b08_h043,"Hymns of Virupa, Vasa and Others",Agni
b08_h044,"Hymns of Virupa, Vasa and Others",Agni
b08_h045,"Hymns of Virupa, Vasa and Others",Indra
b08_h046,"Hymns of Virupa, Vasa and Others",Indra
b08_h047,"Hymns of Virupa, Vasa and Others",Adityas
b08_h048,"Hymns of Virupa, Vasa and Others",Soma
b08_h049,Valakhilya-Hymns,Indra
b08_h050,Valakhilya-Hymns,Indra
b08_h051,Valakhilya-Hymns,Indra
b08_h052,Valakhilya-Hymns,Indra
b08_h053,Valakhilya-Hymns,Indra
b08_h054,Valakhilya-Hymns,Indra or All the Gods
b08_h055,Valakhilya-Hymns,Thanksgiving
b08_h056,Valakhilya-Hymns,Thanksgiving
b08_h057,Valakhilya-Hymns,Asvins
b08_h058,Valakhilya-Hymns,Fragment
b08_h059,Valakhilya-Hymns,Indra and Varuna
b08_h060,Hymns of Pragatha and Other Kanva-Sons,Agni
b08_h061,Hymns of Pragatha and Other Kanva-Sons,Indra
b08_h062,Hymns of Pragatha and Other Kanva-Sons,Indra
b08_h063,Hymns of Pragatha and Other Kanva-Sons,Indra
b08_h064,Hymns of Pragatha and Other Kanva-Sons,Indra
b08_h065,Hymns of Pragatha and Other Kanva-Sons,Indra
b08_h066,Hymns of Pragatha and Other Kanva-Sons,Indra
b08_h067,Hymns of Priyamedha and Others,Adityas
b08_h068,Hymns of Priyamedha and Others,Indra
b08_h069,Hymns of Priyamedha and Others,Indra
b08_h070,Hymns of Priyamedha and Others,Indra
b08_h071,Hymns of Priyamedha and Others,Agni
b08_h072,Hymns of Gopavana and Other Sons of Atri,Agni or Praise of the Oblations
b08_h073,Hymns of Gopavana and Other Sons of Atri,Asvins
b08_h074,Hymns of Gopavana and Other Sons of Atri,Agni
b08_h075,Hymns of Virupa and Others,Agni
b08_h076,Hymns of Virupa and Others,Indra
b08_h077,Hymns of Virupa and Others,Indra
b08_h078,Hymns of Virupa and Others,Indra
b08_h079,Hymns of Virupa and Others,Soma
b08_h080,"Hymns of Ekadyu, Krishna and Others",Indra
b08_h081,"Hymns of Ekadyu, Krishna and Others",Indra
b08_h082,"Hymns of Ekadyu, Krishna and Others",Indra
b08_h083,"Hymns of Ekadyu, Krishna and Others",All the Gods
b08_h084,"Hymns of Ekadyu, Krishna and Others",Agni
b08_h085,"Hymns of Ekadyu, Krishna and Others",Asvins
b08_h086,"Hymns of Ekadyu, Krishna and Others",Asvins
b08_h087,"Hymns of Ekadyu, Krishna and Others",Asvins
b08_h088,Hymns of Nodhas,Indra
b08_h089,Hymns of Nodhas,Indra
b08_h090,Hymns of Nodhas,Indra
b08_h091,Hymns of Nodhas,Indra
b08_h092,Hymns of Srutakaksu and Others,Indra
b08_h093,Hymns of Srutakaksu and Others,Indra
b08_h094,Hymns of Srutakaksu and Others,The Maruts
b08_h095,Tirasci and Other Poets,Indra
b08_h096,Tirasci and Other Poets,Indra
b08_h097,Tirasci and Other Poets,Indra
b08_h098,Tirasci and Other Poets,Indra
b08_h099,Tirasci and Other Poets,Indra
b08_h100,Tirasci and Other Poets,Indra and Vak
b08_h101,Tirasci and Other Poets,Diverse Gods
b08_h102,Tirasci and Other Poets,Agni
b08_h103,Tirasci and Other Poets,Agni
b09_h001,Tirasci and Other Poets,Soma
b09_h002,Tirasci and Other Poets,Soma
b09_h003,Tirasci and Other Poets,Soma
b09_h004,Tirasci and Other Poets,Soma
b09_h005,Tirasci and Other Poets,Apri Hymn
b09_h006,Tirasci and Other Poets,Soma
b09_h007,Tirasci and Other Poets,Soma
b09_h008,Tirasci and Other Poets,Soma
b09_h009,Tirasci and Other Poets,Soma
b09_h010,Tirasci and Other Poets,Soma
b09_h011,Tirasci and Other Poets,Soma
b09_h012,Tirasci and Other Poets,Soma
b09_h013,Tirasci and Other Poets,Soma
b09_h014,Tirasci and Other Poets,Soma
b09_h015,Tirasci and Other Poets,Soma
b09_h016,Tirasci and Other Poets,Soma
b09_h017,Tirasci and Other Poets,Soma
b09_h018,Tirasci and Other Poets,Soma
b09_h019,Tirasci and Other Poets,Soma
b09_h020,Tirasci and Other Poets,Soma
b09_h021,Tirasci and Other Poets,Soma
b09_h022,Tirasci and Other Poets,Soma
b09_h023,Tirasci and Other Poets,Soma
b09_h024,Tirasci and Other Poets,Soma
b09_h025,Tirasci and Other Poets,Soma
b09_h026,Tirasci and Other Poets,Soma
b09_h027,Tirasci and Other Poets,Soma
b09_h028,Tirasci and Other Poets,Soma
b09_h029,Tirasci and Other Poets,Soma
b09_h030,Tirasci and Other Poets,Soma
b09_h031,Tirasci and Other Poets,Soma
b09_h032,Tirasci and Other Poets,Soma
b09_h033,Tirasci and Other Poets,Soma
b09_h034,Tirasci and Other Poets,Soma
b09_h035,Tirasci and Other Poets,Soma
b09_h036,Tirasci and Other Poets,Soma
b09_h037,Tirasci and Other Poets,Soma
b09_h038,Tirasci and Other Poets,Soma
b09_h039,Tirasci and Other Poets,Soma
b09_h040,Tirasci and Other Poets,Soma
b09_h041,Tirasci and Other Poets,Soma
b09_h042,Tirasci and Other Poets,Soma
b09_h043,Tirasci and Other Poets,Soma
b09_h044,Tirasci and Other Poets,Soma
b09_h045,Tirasci and Other Poets,Soma
b09_h046,Tirasci and Other Poets,Soma
b09_h047,Tirasci and Other Poets,Soma
b09_h048,Tirasci and Other Poets,Soma
b09_h049,Tirasci and Other Poets,Soma
b09_h050,Tirasci and Other Poets,Soma
b09_h051,Tirasci and Other Poets,Soma
b09_h052,Tirasci and Other Poets,Soma
b09_h053,Tirasci and Other Poets,Soma
b09_h054,Tirasci and Other Poets,Soma
b09_h055,Tirasci and Other Poets,Soma
b09_h056,Tirasci and Other Poets,Soma
b09_h057,Tirasci and Other Poets,Soma
b09_h058,Tirasci and Other Poets,Soma
b09_h059,Tirasci and Other Poets,Soma
b09_h060,Tirasci and Other Poets,Soma
b09_h061,Tirasci and Other Poets,Soma
b09_h062,Tirasci and Other Poets,Soma
b09_h063,Tirasci and Other Poets,Soma
b09_h064,Tirasci and Other Poets,Soma
b09_h065,Tirasci and Other Poets,Soma
b09_h066,Tirasci and Other Poets,Soma
b09_h067,Tirasci and Other Poets,Soma and Other Gods
b09_h068,The Jagati Group,Soma
b09_h069,The Jagati Group,Soma
b09_h070,The Jagati Group,Soma
b09_h071,The Jagati Group,Soma
b09_h072,The Jagati Group,Soma
b09_h073,The Jagati Group,Soma
b09_h074,The Jagati Group,Soma
b09_h075,The Jagati Group,Soma
b09_h076,The Jagati Group,Soma
b09_h077,The Jagati Group,Soma
b09_h078,The Jagati Group,Soma
b09_h079,The Jagati Group,Soma
b09_h080,The Jagati Group,Soma
b09_h081,The Jagati Group,Soma
b09_h082,The Jagati Group,Soma
b09_h083,The Jagati Group,Soma
b09_h084,The Jagati Group,Soma
b09_h085,The Jagati Group,Soma
b09_h086,The Jagati Group,Soma
b09_h087,The Tristubh Group,Soma
b09_h088,The Tristubh Group,Soma
b09_h089,The Tristubh Group,Soma
b09_h090,The Tristubh Group,Soma
b09_h091,The Tristubh Group,Soma
b09_h092,The Tristubh Group,Soma
b09_h093,The Tristubh Group,Soma
b09_h094,The Tristubh Group,Soma
b09_h095,The Tristubh Group,Soma
b09_h096,The Tristubh Group,Soma
b09_h097,The Tristubh Group,Soma
b09_h098,The Anustubh-Group,Soma
b09_h099,The Anustubh-Group,Soma
b09_h100,The Anustubh-Group,Soma
b09_h101,The Anustubh-Group,Soma
b09_h102,The Usnih Group,Soma
b09_h103,The Usnih Group,Soma
b09_h104,The Usnih Group,Soma
b09_h105,The Usnih Group,Soma
b09_h106,The Usnih Group,Soma
b09_h107,The Pragatha Group,Soma
b09_h108,The Pragatha Group,Soma
b09_h109,Various Metres,Soma
b09_h110,Various Metres,Soma
b09_h111,Various Metres,Soma
b09_h112,Various Metres,Soma
b09_h113,Various Metres,Soma
b09_h114,Various Metres,Soma
b10_h001,Hymns of Trita Aptya,Agni
b10_h002,Hymns of Trita Aptya,Agni
b10_h003,Hymns of Trita Aptya,Agni
b10_h004,Hymns of Trita Aptya,Agni
b10_h005,Hymns of Trita Aptya,Agni
b10_h006,Hymns of Trita Aptya,Agni
b10_h007,Hymns of Trita Aptya,Agni
b10_h008,Hymns of Trita Aptya,Agni and Indra
b10_h009,Hymns of Trita Aptya,The Waters
b10_h010,Yama Hymns,Yama and Yami
b10_h011,Yama Hymns,Agni
b10_h012,Yama Hymns,Agni
b10_h013,Yama Hymns,The Two Sacrificial Carts
b10_h014,Yama Hymns,Yama
b10_h015,Yama Hymns,The Ancestors
b10_h016,Yama Hymns,Fire of Cremation
b10_h017,Yama Hymns,Diverse Gods
b10_h018,Yama Hymns,For the Burial Rite
b10_h019,Yama Hymns,The Cows
b10_h020,Hymns of Vimada,Agni
b10_h021,Hymns of Vimada,Agni
b10_h022,Hymns of Vimada,Indra
b10_h023,Hymns of Vimada,Indra
b10_h024,Hymns of Vimada,Indra and the Asvins
b10_h025,Hymns of Vimada,Soma
b10_h026,Hymns of Vimada,Pusan
b10_h027,The Vasukra Hymns,Indra
b10_h028,The Vasukra Hymns,"Indra, a Dispute"
b10_h029,The Vasukra Hymns,Indra
b10_h030,Hymns of Kavasa Ailusa,The Waters
b10_h031,Hymns of Kavasa Ailusa,All the Gods
b10_h032,Hymns of Kavasa Ailusa,Indra
b10_h033,Hymns of Kavasa Ailusa,A Singer's Lament
b10_h034,Hymns of Kavasa Ailusa,Hymn of the Gambler
b10_h035,Hymns of Lusa,All the Gods
b10_h036,Hymns of Lusa,All the Gods
b10_h037,Hymns of Lusa,Surya
b10_h038,Hymns of Lusa,Indra
b10_h039,The Ghosa Hymns,Asvins
b10_h040,The Ghosa Hymns,Asvins
b10_h041,The Ghosa Hymns,Asvins
b10_h042,Hymns of Krishna,Indra
b10_h043,Hymns of Krishna,Indra
b10_h044,Hymns of Krishna,Indra
b10_h045,The Vatsapri Hymns,Agni
b10_h046,The Vatsapri Hymns,Agni
b10_h047,The Vatsapri Hymns,Indra
b10_h048,Indra-Vaikuntha-Hymns,Indra's Praise of Himself
b10_h049,Indra-Vaikuntha-Hymns,Indra's Praise of Himself
b10_h050,Indra-Vaikuntha-Hymns,Indra
b10_h051,Agni - Saucika - Hymns,Dialogue Between the Gods and Agni
b10_h052,Agni - Saucika - Hymns,Continuation of the Dialogue
b10_h053,Agni - Saucika - Hymns,Sacrificial Hymn
b10_h054,Brihaduktha Hymns,Indra
b10_h055,Brihaduktha Hymns,Indra
b10_h056,Brihaduktha Hymns,Funeral Speech About a Horse
b10_h057,Gaupayana Hymns,All the Gods
b10_h058,Gaupayana Hymns,Bringing Back the Spirit
b10_h059,Gaupayana Hymns,Diverse Gods
b10_h060,Gaupayana Hymns,Praise of Asamati
b10_h061,Nabhanedistha Hymns,All the Gods
b10_h062,Nabhanedistha Hymns,"All the Gods or the Angiras, Thanksgiving to Savarni"
b10_h063,Gaya Plata Hymns,All the Gods
b10_h064,Gaya Plata Hymns,All the Gods
b10_h065,Hymns of Vasukarna,All the Gods
b10_h066,Hymns of Vasukarna,All the Gods
b10_h067,Hymns of Ayasya,Brihaspati
b10_h068,Hymns of Ayasya,Brihaspati
b10_h069,Hymns of Sumitra,Agni
b10_h070,Hymns of Sumitra,Apri Hymn
b10_h071,Brihaspati Hymns,Hymn of Wisdom
b10_h072,Brihaspati Hymns,The Gods / Hymn of Creation
b10_h073,Hymns of Gauriviti,Indra
b10_h074,Hymns of Gauriviti,Indra
b10_h075,Two Single Poets,The Rivers
b10_h076,Two Single Poets,The Pressing Stones
b10_h077,Hymns of Syumarasmi,The Maruts
b10_h078,Hymns of Syumarasmi,The Maruts
b10_h079,Saucika Hymns,Agni
b10_h080,Saucika Hymns,Agni
b10_h081,Hymns of Visvakarman Bhauvana,Visvakarman
b10_h082,Hymns of Visvakarman Bhauvana,Visvakarman
b10_h083,Hymns of Manyu,Manyu (Wrath)
b10_h084,Hymns of Manyu,Manyu
b10_h085,Hymns of Manyu,Wedding Hymn
b10_h086,Hymns of Manyu,Song of Vrisakapi
b10_h087,Hymns of Manyu,"Agni, Killer of Raksas"
b10_h088,Hymns of Manyu,Surya and Vaisvanara
b10_h089,Hymns of Manyu,Indra
b10_h090,Hymns of Manyu,Purusa
b10_h091,Hymns of Manyu,Agni
b10_h092,Hymns of Manyu,All the Gods
b10_h093,Hymns of Manyu,All the Gods
b10_h094,Hymns of Manyu,The Pressing Stones
b10_h095,Hymns of Manyu,Pururavas and Urvasi
b10_h096,Hymns of Manyu,Praise of Indra's Bay Steeds
b10_h097,Hymns of Manyu,Praise of Healing Plants
b10_h098,Hymns of Manyu,Devapi's Prayer for Rain
b10_h099,Hymns of Manyu,Indra
b10_h100,Hymns of Manyu,All the Gods
b10_h101,Hymns of Manyu,The Sacrificial Priest
b10_h102,Hymns of Manyu,The Race of Mugdalani
b10_h103,Hymns of Manyu,Indra
b10_h104,Hymns of Manyu,Indra
b10_h105,Hymns of Manyu,Indra
b10_h106,Hymns of Manyu,Asvins
b10_h107,Hymns of Manyu,Daksina (Praise of the Singer)
b10_h108,Hymns of Manyu,Sarama and the Panis
b10_h109,Hymns of Manyu,All the Gods
b10_h110,Hymns of Manyu,Apri Hymn
b10_h111,Hymns of Manyu,Indra
b10_h112,Hymns of Manyu,Indra
b10_h113,Hymns of Manyu,Indra
b10_h114,Hymns of Manyu,All the Gods
b10_h115,Hymns of Manyu,Agni
b10_h116,Hymns of Manyu,Indra
b10_h117,Hymns of Manyu,Praise of Charity
b10_h118,Hymns of Manyu,"Agni, Killer of Raksas"
b10_h119,Hymns of Manyu,Soliloquy of One Intoxicated by Soma
b10_h120,Hymns of Manyu,Indra
b10_h121,Hymns of Manyu,Which God
b10_h122,Hymns of Manyu,Agni
b10_h123,Hymns of Manyu,Vena
b10_h124,Hymns of Manyu,Diverse Gods
b10_h125,Hymns of Manyu,Vac (Speech)
b10_h126,Hymns of Manyu,All the Gods
b10_h127,Hymns of Manyu,The Night
b10_h128,Hymns of Manyu,All the Gods
b10_h129,Hymns of Manyu,The Origin of Things
b10_h130,Hymns of Manyu,Creation of the Sacrifice
b10_h131,Hymns of Manyu,Indra
b10_h132,Hymns of Manyu,Mitra and Varuna
b10_h133,Hymns of Manyu,Indra
b10_h134,Hymns of Manyu,Indra
b10_h135,Hymns of Manyu,The Boy and the Wagon
b10_h136,Hymns of Manyu,The Muni
b10_h137,Hymns of Manyu,All the Gods
b10_h138,Hymns of Manyu,Indra
b10_h139,Hymns of Manyu,Surya
b10_h140,Hymns of Manyu,Agni
b10_h141,Hymns of Manyu,All the Gods
b10_h142,Hymns of Manyu,Agni
b10_h143,Hymns of Manyu,Asvins
b10_h144,Hymns of Manyu,Indra
b10_h145,Hymns of Manyu,Against Rivals in Love
b10_h146,Hymns of Manyu,Aranyani
b10_h147,Hymns of Manyu,Indra
b10_h148,Hymns of Manyu,Indra
b10_h149,Hymns of Manyu,Savitri
b10_h150,Hymns of Manyu,Agni
b10_h151,Hymns of Manyu,Faith
b10_h152,Hymns of Manyu,Indra
b10_h153,Hymns of Manyu,Indra
b10_h154,Hymns of Manyu,The Dead One
b10_h155,Hymns of Manyu,Against a Witch
b10_h156,Hymns of Manyu,Agni
b10_h157,Hymns of Manyu,All the Gods
b10_h158,Hymns of Manyu,Surya
b10_h159,Hymns of Manyu,A Woman's Hymn of Triumph
b10_h160,Hymns of Manyu,Indra
b10_h161,Hymns of Manyu,Against Emaciation
b10_h162,Hymns of Manyu,Against Those Damaing the Foetus
b10_h163,Hymns of Manyu,Against Emaciation
b10_h164,Hymns of Manyu,Absolution of Sins
b10_h165,Hymns of Manyu,Against the Bird of Ill Omen
b10_h166,Hymns of Manyu,Against Rivals in Love
b10_h167,Hymns of Manyu,Indra
b10_h168,Hymns of Manyu,Vata (The Storm)
b10_h169,Hymns of Manyu,Blessing of the Cows
b10_h170,Hymns of Manyu,Surya
b10_h171,Hymns of Manyu,Indra
b10_h172,Hymns of Manyu,?
b10_h173,Hymns of Manyu,Consecration of a King
b10_h174,Hymns of Manyu,Blessing of a King
b10_h175,Hymns of Manyu,The Pressing Stones
b10_h176,Hymns of Manyu,Agni
b10_h177,Hymns of Manyu,Patanga (The Bird)
b10_h178,Hymns of Manyu,Tarksya
b10_h179,Hymns of Manyu,Indra
b10_h180,Hymns of Manyu,Indra
b10_h181,Hymns of Manyu,All the Gods
b10_h182,Hymns of Manyu,Brihaspati
b10_h183,Hymns of Manyu,For the Birth of a Son
b10_h184,Hymns of Manyu,Prayer for Good Conception and Birth
b10_h185,Hymns of Manyu,Aditi
b10_h186,Hymns of Manyu,Vayu
b10_h187,Hymns of Manyu,Agni
b10_h188,Hymns of Manyu,Agni Jatavedas
b10_h189,Hymns of Manyu,?
b10_h190,Hymns of Manyu,Tapas
b10_h191,Hymns of Manyu,Hymn of Unison
